trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.0030937078408896923	instruction	0		31		0.9815805829130113	0.4962971252389252
0	0.4993908330798149	instruction	1		1		1.4778777081519365	0.017385124694555998
0	0.5167759577743709	instruction	0		31		1.4952628328464925	0.5162017922848463
0	1.0329777500592172	instruction	1		1		2.011464625131339	0.016220207791775465
1	1.0491979578509927	fixation1	0		18	14.0	2.0276848329231143	0.3004193753004074
1	1.3496173331514	fixation2	1		19	14.0	2.3281042082235217	0.31069395830854774
1	1.6603112914599478	stimulus	2		397	14.0	2.6387981665320694	7.221755541395396
1	2.2652000412344933	response	3		36	14.0	3.243686916306615	
1	8.882066832855344	feedback	4	16	30	14.0	9.860553707927465	0.5174142923206091
2	9.399481125175953	fixation1	0		18	22.0	10.377968000248075	0.2998854578472674
2	9.69936658302322	fixation2	1		18	22.0	10.677853458095342	0.2954539582133293
2	9.99482054123655	stimulus	2		3240	22.0	10.973307416308671	54.70365766668692
2	10.598708416335285	response	3		36	22.0	11.577195291407406	
2	64.69847820792347	feedback	4	16	30	22.0	65.6769650829956	0.5012314170598984
3	65.19970962498337	fixation1	0		18	24.0	66.17819650005549	0.29907991643995047
3	65.49878954142332	fixation2	1		18	24.0	66.47727641649544	0.2993105836212635
3	65.79810012504458	stimulus	2		117	24.0	66.7765870001167	2.55043249996379
3	66.39827274996787	response	3		36	24.0	67.37675962504	
3	68.34853262500837	feedback	4	10	31	24.0	69.3270195000805	0.5235903328284621
0	68.87212295783684	get_score	0		1		69.85060983290896	0.004986000247299671
0	68.87710895808414	score	1		162		69.85559583315626	2.705365417059511
